Epoch(n),Time(sec),Loss,Accuracy,Val_Loss,Val_Accuracy 
132,13,"0,2908","0,9734","0,0024",1
133,14,"0,2307","0,9577","0,113","0,9861"
134,14,"0,2617","0,9722","0,0582","0,9861"
135,14,"0,3761","0,9644","6,9476","0,5833"
136,14,"0,2383","0,9517","0,2444","0,9722"
137,13,"0,2454","0,9668","0,0889","0,9722"
138,13,"0,3251","0,9638","0,0967","0,9722"
139,13,"0,3284","0,965","0,047",1
140,13,"0,1636","0,9752","0,0578","0,9861"
141,13,"0,2062","0,9674","0,2279","0,9722"
142,13,"0,2266","0,9686","0,0059",1
143,13,"0,3357","0,9565","0,123","0,9722"
144,13,"0,1949","0,974","0,0105",1
145,13,"0,3059","0,965","0,0086",1
146,13,"0,1376","0,9746","0,0381","0,9861"
147,13,"0,2734","0,9632","0,1392","0,9583"
148,13,"0,232","0,9704","0,6977","0,9028"
149,15,"0,3178","0,9638","0,0201",1
150,16,"0,3131","0,9638","0,1277","0,9861"
151,17,"0,2577","0,962","0,5802","0,9444"
152,15,"0,3172","0,9758","0,2487","0,9722"
153,14,"0,2168","0,9656","1,5684","0,9167"
154,14,"0,255","0,9638","0,1423","0,9861"
155,14,"0,3454","0,9638","0,0069",1
156,14,"0,2624","0,9632","0,01",1
157,13,"0,4417","0,9595","0,5586","0,9583"
158,14,"0,1721","0,9807","0,2037","0,9861"
